id,collection_id,name,order_index,sets,reps,weight,notes
band-warmup,warmups,Band Warmup,1,1,,,1 minute
rotation-warmup,warmups,Rotation Warmup,2,1,,,6 minutes alternating
bike,warmups,Bike,3,1,,,6 minutes optional
bench-press-machine,day-1,Bench Press (Machine),1,2,15,,Machine
leg-press,day-1,Leg Press,2,2,12,35 lbs,
bench-chest-press-free-weights,day-1,Bench Chest Press (Free Weights),3,2,12,12.5 lbs,Two hands independent
one-arm-row,day-1,One Arm Row,4,2,12,12.5 lbs,
triceps-lying,day-1,Triceps (Lying),5,2,12,12.5 lbs,On back
pt-shoulder-front-raise-day1,day-1,PT Shoulder – Front Raise,6,2,12,5 lbs,Straight forward
pt-shoulder-rotation,day-1,PT Shoulder – Rotation,7,2,12,3 lbs,
farmers-carry,day-1,Farmer’s Carry,8,1,,15 lbs,Distance based
leaning-pushups,day-1,Leaning Pushups,9,3,15,,Bar at 11 feet back
box-lift-crotch-height,day-1,Box Lift (Crotch Height),10,2,10,,Each arm
box-plank,day-1,Box Plank,11,1,,,1 minute
heel-to-toe-lean-box,day-1,Heel-to-Toe Lean (Box),12,1,,,1 minute
lunges,day-2,Lunges,1,2,12,,
slide-and-drag,day-2,Slide & Drag,2,1,,,1 minute
suitcase-carry,day-2,Suitcase Carry,3,1,,10 lbs,Distance based
bench-press-bar,day-2,Bench Press (Bar 25 lbs),4,2,12,25 lbs,Just bar
seated-leg-press,day-2,Seated Leg Press,5,2,12,30 lbs,
face-pull,day-2,Face Pull,6,2,12,20 lbs,Shoulder height
reverse-fly-cable,day-2,Reverse Fly (Cable),7,2,12,5 lbs,Hallway machine
pt-shoulder-side-raise,day-2,PT Shoulder – Side Raise,8,2,10,3 lbs,Don’t shrug
pt-shoulder-front-raise-day2,day-2,PT Shoulder – Front Raise,9,2,12,,
pt-shoulder-angle,day-2,PT Shoulder – Angle,10,2,12,,
pt-shoulder-functional,day-2,PT Shoulder – Functional,11,2,12,,
wall-side-plank,day-2,Wall Side Plank,12,1,,,1 minute heel to toe
march-knee-to-bar,day-2,March (Knee to Bar),13,1,20,,Alternating legs
lateral-band-walk,day-2,Lateral Band Walk,14,1,15 steps,,Each direction green band
plank-up-and-down,day-2,Plank Up & Down,15,1,10/side,,
dead-bug,unassigned,Dead Bug (Pause),1,1,,,1 minute slight pause before return
side-bend-wall,unassigned,Side Bend (Wall),2,1,,,30 second hold
standing-quad-stretch,unassigned,Standing Quad Stretch,3,1,,,1 minute each leg
lying-triceps-extension,unassigned,Lying Triceps Extension,4,2,12,7.5 lbs,Free weight
seated-cable-row,unassigned,Seated Cable Row,5,2,15,30 lbs,Machine 39
hip-flexor-stretch,stretches,Hip Flexor Stretch,1,2,,,1 minute includes switches
hamstring-stretch,stretches,Hamstring Stretch,2,2,,,1 minute
doorway-side-stretch,stretches,Doorway Side Stretch,3,1,,,1 minute shoulder and hip forward
reach-back-stretch,stretches,Reach Back Stretch,4,1,,,1 minute
